"Disease"	"Lipid"	"Lipid_pubchem_cid"	"Citations"	"p-value"	"FDR"
"Respiratory Distress Syndrome, Adult"	"Oleic acid"	445639	"1284032, 1288090, 1288094, 1395665, 1527262, 1586044, 1618274, 1852983, 1999104, 2036836, 2225896, 2240686, 2328251, 2382895, 2481870, 2543450, 2791133, 2800972, 3058343, 3080819, 3086825, 3097431, 3131493, 3197179, 3277313, 3511325, 3652834, 3722054, 3762125, 3802424, 3963620, 3965245, 3977180, 6360567, 6459302, 6518924, 6638672, 6705194, 7182169, 7547317, 7633697, 7656637, 7774341, 7817048, 7817049, 7834771, 7867359, 7867360, 7868302, 7956419, 8049811, 8079696, 8079752, 8082379, 8111590, 8304827, 8403968, 8515614, 8565544, 8577225, 8708172, 8750125, 8989171, 8989192, 9001610, 9128906, 9206098, 9307481, 9366774, 9498967, 9564905, 9590322, 9609811, 9620928, 9700118, 9722042, 9743406, 9776962, 9817705, 9817719, 9927374, 10051261, 10068526, 10390418, 10424572, 10501765, 10508803, 10508821, 10654518, 10683989, 10708156, 10750926, 10806143, 10806151, 10852747, 10852772, 10876008, 10921579, 10944426, 10988109, 11076799, 11078423, 11232213, 11263294, 11355127, 11373455, 11376261, 11401900, 11430546, 11438635, 11477821, 11700412, 11748400, 11755154, 11770037, 11940762, 12072692, 12130980, 12193118, 12410960, 12612443, 12673019, 12734647, 12840846, 12840895, 14557856, 14670801, 14972232, 14991190, 15090967, 15294133, 15312408, 15312582, 15340237, 15365606, 15524403, 15542790, 15550370, 15566591, 15599138, 15599139, 15681391, 15707856, 15710155, 15763380, 15763952, 15894601, 15952594, 15981863, 16075718, 16075735, 16075739, 16085597, 16124899, 16155753, 16268988, 16356227, 16391949, 16538461, 16687790, 16784555, 16899837, 17046849, 17047926, 17110875, 17147862, 17285413, 17313668, 17392336, 17467318, 17520822, 17577740, 17629689, 17680186, 17687775, 17688701, 17828031, 17971251, 17993000, 18087691, 18349543, 18379248, 18386219, 18434738, 18535161, 18549715, 18580520, 18621912, 18677923, 18790185, 18840586, 18840587, 19047485, 19514584, 19649399, 19726282, 19909826, 20645924, 20924187, 21158057, 21460711, 21609556, 21643873, 22448277, 22475807, 22819303, 22889477, 22999004, 24390242, 24694683, 25059039, 25115497, 25666119, 26263439, 26640323, 26814072, 27180146, 27488006, 27520356, 27586277, 27704259, 28230150, 29316749, 29764547, 29953198, 30296789, 30417861, 30531727"	4.88467882073865e-319	2.28143705148821e-318
"Pulmonary Edema"	"Oleic acid"	445639	"1410842, 1474086, 1474094, 1514332, 1537723, 1586044, 1699294, 1735284, 1736739, 1852983, 1864789, 1952303, 1955008, 2001075, 2012214, 2051584, 2108283, 2118497, 2127594, 2240686, 2293973, 2327634, 2347780, 2382895, 2389652, 2394653, 2407305, 2423558, 2481870, 2496087, 2501278, 2645264, 2647093, 2665583, 2801987, 2807817, 2847882, 2914452, 3030168, 3032515, 3080819, 3081468, 3086825, 3098112, 3115769, 3143286, 3145279, 3157333, 3170419, 3170750, 3182500, 3202373, 3222534, 3282155, 3301786, 3486180, 3488217, 3510875, 3511325, 3519567, 3526983, 3531146, 3711335, 3720326, 3722054, 3739592, 3762125, 3767130, 3786956, 3829293, 3901780, 3902775, 3902779, 3923869, 3928257, 3940754, 3949648, 3957585, 3963452, 3980176, 3985302, 3996001, 4008414, 4010268, 4028751, 4030577, 4064278, 4066239, 6295220, 6350709, 6469520, 6497164, 6518924, 6520043, 6638674, 6749435, 6749774, 6798811, 6881582, 7040322, 7040694, 7049007, 7125342, 7294408, 7294505, 7548401, 7633735, 7817049, 7920976, 7992914, 8072287, 8175563, 8182879, 8307861, 8331843, 8366225, 8424577, 8639723, 8664452, 8682524, 8750125, 8875764, 8942341, 9001610, 9104836, 9128906, 9148346, 9203512, 9249914, 9352621, 9419513, 9492493, 9564905, 9609811, 9631808, 9757928, 9758027, 9760351, 10075064, 10083065, 10390418, 10508821, 10598123, 10654518, 10713957, 11355127, 11376261, 11378599, 11496094, 11770037, 12034937, 12073206, 12130981, 14309804, 14557856, 14670801, 15090967, 15241101, 15542790, 15566591, 15652791, 15722419, 15774189, 16051651, 16391949, 17171932, 17285413, 17828031, 18562927, 18580520, 19460695, 21643873, 23209347, 25059039, 25115497, 26051998, 26640323, 26796635, 26814072, 27562142, 27986329, 28431421, 29554114"	1.82789309223919e-258	7.87749895885697e-258
"Acute Lung Injury"	"Oleic acid"	445639	"16887057, 17327082, 17767064, 18279591, 18279599, 18336770, 18504185, 18504190, 19115646, 19134000, 19252304, 19331663, 19460695, 19514584, 19576042, 19589235, 19664592, 19726282, 19750328, 19783866, 19909826, 20622682, 20628605, 20645924, 20663306, 20815127, 20874224, 20888423, 20924187, 20931796, 21171186, 21228338, 21238452, 21396178, 21622966, 21643873, 21933626, 21939637, 22087513, 22152812, 22210005, 22295531, 22340161, 22340377, 22340478, 22529526, 22779929, 22819303, 22884070, 22932187, 23422113, 23422200, 23503484, 23811623, 23823829, 23855826, 23933165, 24235104, 24238513, 24271996, 24736893, 24938646, 25026158, 25319916, 25442010, 25536864, 25581610, 26051998, 26073719, 26112755, 26563098, 26796635, 26895462, 26976688, 27231985, 27362815, 27488006, 27562142, 27704259, 28080141, 28431421, 28601320, 28751159, 28927460, 28935810, 29224009, 29668779, 29898376, 29926639, 30417861, 31123394, 31646322"	1.65375442282567e-113	5.42496215873386e-113
"Fatty Liver"	"Oleic acid"	445639	"8896286, 9212045, 10068949, 10659963, 10956251, 14151129, 14168175, 14173329, 14301352, 14302120, 15239102, 17188672, 17470478, 17558421, 17951222, 18054317, 18060040, 18952835, 19207680, 19541924, 19617893, 19646010, 20006364, 20014489, 20220207, 20430872, 20595619, 20602678, 20872794, 21064031, 21145833, 21327189, 21391224, 21620948, 21644928, 21824690, 21856859, 21947253, 21999238, 22058427, 22380754, 22683933, 22940028, 22961556, 23348005, 23371517, 23395669, 23512965, 23524523, 23594856, 23603006, 23792031, 23875779, 23967745, 24027117, 24065273, 24121055, 24275089, 24331633, 24351808, 24525903, 24534255, 24680680, 24735863, 24863413, 25048947, 25105540, 25484077, 25588104, 25605057, 25912298, 26250597, 26634485, 26669000, 26804769, 26854922, 26895660, 27246737, 27265384, 27282405, 27468193, 27490779, 27497686, 27760195, 28246167, 28552552, 28707223, 28763157, 29467759, 29474539, 29525610, 29603076, 29721023, 29797206, 29976400, 30142454, 30182439, 30214048, 30669785, 30832407, 31340670, 31387185, 31703459"	5.63566187789101e-67	1.58786584165386e-66
"Non-alcoholic Fatty Liver Disease"	"Oleic acid"	445639	"20014489, 20602678, 21145833, 21999238, 22380754, 22683933, 22961556, 23395669, 23512965, 23603006, 23792031, 24027117, 24065273, 24275089, 24351808, 24534255, 24680680, 25089018, 25105540, 25256142, 25281760, 25400762, 25573131, 25595882, 25617503, 26103964, 26176317, 26187275, 26431876, 26438694, 26634485, 26634892, 26674288, 26739624, 26869449, 26941577, 27016407, 27220460, 27756518, 27762456, 27832630, 28153707, 28317281, 28351695, 28449683, 28628909, 28693358, 28759727, 29101357, 29136950, 29173646, 29367738, 29469041, 29525610, 29709653, 29727630, 29738693, 29803754, 30142454, 30196282, 30214048, 30380656, 30547786, 30603757, 30605949, 30611723, 30832407, 30905315, 30948353, 30957185, 31137047, 31401392, 31639005, 31730885, 31834842"	2.18564492654836e-63	6.07635130159719e-63
"Lung Injury"	"Oleic acid"	445639	"1288090, 1288094, 1537723, 1797924, 1864802, 1999099, 2178148, 3046222, 3145279, 3949648, 7107461, 7588446, 7597969, 7943842, 8079696, 8079752, 8079772, 8875764, 8884890, 8889743, 9044121, 9203512, 9760351, 10068526, 11770037, 15636663, 15681392, 16687790, 17510605, 17687775, 18496275, 18562927, 18581171, 18621912, 19021914, 19047485, 19545667, 19845949, 20473679, 20819547, 21713558, 22448277, 23209347, 23869066, 24070340, 24286421, 24390242, 24594105, 24694683, 25044032, 26640323, 26657403, 27986329, 30268138"	5.69272858047109e-58	1.54200405764788e-57
"Lung Diseases"	"Oleic acid"	445639	"1405614, 1860459, 1900683, 2033887, 2054954, 2245618, 2272958, 2298013, 2347780, 2361388, 2663817, 2685470, 2849332, 3030168, 3081468, 3102855, 3120569, 3197171, 3202484, 3307265, 3448385, 3733609, 3773499, 3963620, 4076053, 6510001, 6732054, 6807153, 7234970, 7807752, 7911801, 8072232, 8125000, 8125892, 8418696, 8440792, 8472577, 8838134, 9124385, 9480964, 9757928, 9843920, 10228099, 10628616, 10642938, 10966269, 11014924, 11152038, 11490128, 11496094, 11641343, 11778209, 11778501, 12070185, 12218533, 12391113, 12883410, 14061852, 14125718, 14742354, 14742386, 14980937, 15099446, 15352958, 15563376, 15608079, 15681392, 15716301, 16019983, 16236973, 16436847, 16762864, 16763097, 16864077, 17068622, 18051906, 18495579, 18611275, 18840586, 18840587, 27778032"	1.15530584442874e-48	2.97690360208518e-48
"Disease Models, Animal"	"Oleic acid"	445639	"1288090, 1288094, 1395665, 1515122, 1618274, 1640632, 1762512, 1960335, 2245618, 2343443, 2437560, 2481870, 2800972, 2807817, 3081468, 3222534, 3223430, 3519567, 3521393, 3628223, 3963452, 6365072, 6476598, 6703446, 7091899, 7234970, 7481522, 7547317, 7633697, 7634890, 7920976, 8041229, 8079696, 8079752, 8082379, 8111590, 8202636, 8302800, 8314181, 8358478, 8398807, 8515614, 8577225, 8664452, 8708172, 8750125, 8838134, 8989171, 8989192, 9044121, 9067704, 9068674, 9128906, 9212045, 9307481, 9419513, 9492493, 9498967, 9543232, 9548669, 9564905, 9590312, 9590322, 9655737, 9695738, 9700118, 9722042, 9757928, 9758027, 9817705, 9817719, 9927374, 10068526, 10331655, 10390408, 10390418, 10642938, 10654518, 10708156, 10750926, 10806143, 10921579, 10944426, 10988109, 11152038, 11232213, 11300614, 11355127, 11395987, 11401900, 11423488, 11430546, 11477821, 11496094, 11880241, 11895168, 11992810, 12147544, 12183508, 12193118, 12213494, 12391113, 12410960, 12612443, 12643599, 12677559, 12734647, 12973179, 14557856, 14972232, 15090967, 15524403, 15542790, 15550370, 15563376, 15566591, 15599138, 15599139, 15681391, 15691620, 15710155, 15755870, 15763380, 15774189, 15799963, 15829824, 15894601, 16144858, 16150339, 16166077, 16182414, 16236973, 16268988, 16356227, 16391949, 16687790, 16784555, 16887057, 16899837, 17046849, 17059935, 17110875, 17147862, 17285413, 17313668, 17467318, 17680186, 17688701, 17971251, 18205994, 18279591, 18279599, 18336770, 18349543, 18358236, 18379248, 18386219, 18549715, 18580520, 18581171, 18621912, 18653900, 18677923, 18797130, 19021914, 19047485, 19115646, 19331663, 19339232, 19589235, 19649399, 19664592, 19710389, 20111021, 20153982, 20158049, 20459027, 20473679, 20663306, 20815127, 20874224, 20924187, 21040071, 21158057, 21171186, 21228338, 21372211, 21396178, 21460711, 21532323, 21609556, 21643873, 21906664, 22254015, 22340377, 22565145, 22779929, 22819303, 22842069, 22889477, 22932187, 22999004, 23422200, 23471455, 23486011, 23503484, 23524523, 23547761, 23792031, 23855826, 23869066, 23937199, 23946292, 24351808, 24524266, 24694683, 24736832, 24736893, 24938646, 24945254, 25026158, 25059039, 25070596, 25089018, 25115497, 25256142, 25266948, 25319916, 25442010, 26051998, 26073719, 26103964, 26263439, 26321199, 26415675, 26563098, 26640323, 26657403, 26758875, 26796635, 26814072, 26892894, 26902606, 26941577, 26976688, 27012417, 27016717, 27180146, 27231985, 27282405, 27362815, 27488006, 27586277, 27704259, 27762456, 27778032, 27959569, 28431421, 28486225, 28935810, 28980327, 29115454, 29721023, 29797206, 29803754, 30268138, 30296789, 30417861, 30527540, 30531727, 30538802, 30668326, 30943799, 30951898, 31123394, 31590050"	1.19552721286761e-38	2.90166405446269e-38
"Insulin Resistance"	"Oleic acid"	445639	"2588116, 9547100, 10787432, 10956251, 11093916, 11555843, 11834092, 11895168, 12145222, 12670494, 14713277, 15155754, 15654918, 15723548, 15877301, 15993851, 16341842, 16711601, 16822230, 16895544, 16920849, 17097017, 17384440, 17538229, 17558421, 17641276, 17922004, 18060040, 18234646, 18281277, 18358236, 18788462, 19017764, 19210857, 19497719, 19541924, 19584878, 19622194, 19680547, 19706288, 20006364, 20030713, 20876761, 21397284, 21458117, 21505048, 21700370, 22155243, 22209682, 22254015, 22611083, 23140342, 23214140, 23238293, 23348005, 23460021, 23512965, 23524523, 23820622, 24341187, 24632852, 24732014, 24752559, 25073444, 25147439, 25236425, 25281760, 25421236, 25536389, 25846498, 25931001, 26055507, 26280128, 26324406, 26344902, 26525535, 26886198, 26899878, 26923704, 27246737, 27341449, 27490779, 27619894, 27725263, 27922115, 28456145, 28484112, 28862046, 28971334, 29031387, 29290500, 29446544, 29864915, 29976400, 30228616, 30248539, 30262144, 30575271, 30615382, 30778898, 30957185, 31274075, 31401392"	2.83141240122564e-26	6.22786474817304e-26
"Carcinoma, Hepatocellular"	"Oleic acid"	445639	"1332692, 1660268, 1848237, 1848848, 2174703, 2553104, 2576804, 2837464, 3021884, 3035039, 6272870, 7536855, 7586583, 7595067, 7742360, 7820306, 7845382, 8576650, 8663087, 8808754, 8827519, 9169410, 9409332, 9450116, 9555069, 9597754, 9651381, 9718078, 9799814, 9858936, 10202850, 11292061, 11322782, 11352984, 12065576, 15254032, 15298768, 15308631, 15375792, 15618547, 15618550, 15721010, 15741053, 16203724, 16254047, 16263710, 16610102, 17188672, 17523925, 17707340, 18003621, 19083476, 21327189, 21391224, 22380754, 22385296, 24142602, 24481861, 24867776, 25048947, 26118105, 26186544, 28707223, 29432786, 30076294, 30182439, 30448348"	8.04675218325219e-18	1.62409329062038e-17
"Obesity"	"Oleic acid"	445639	"1312964, 2861554, 6273686, 6428907, 6472052, 6825793, 6865756, 7607723, 7719964, 7854160, 9002984, 9079720, 9108665, 9291105, 9547100, 10329986, 10447788, 10497230, 10956251, 11093916, 11290829, 11832351, 11834092, 12670494, 14212750, 14697232, 15225642, 15570311, 15884761, 16094855, 16394593, 16632435, 16705061, 16920849, 17257774, 17287467, 17538229, 17641276, 17681693, 17717282, 17936811, 17960180, 18788462, 18797130, 19192424, 19369694, 19584878, 19652946, 19710389, 19910642, 20111021, 20442319, 20653972, 21170321, 21310831, 21757270, 21829156, 22210925, 22254015, 22750100, 22798065, 23214140, 23274886, 23363068, 23602336, 23640923, 23668715, 23817431, 23935253, 23988748, 24065093, 24286356, 24418242, 24441829, 24550067, 24591531, 24680601, 24951981, 24961177, 24975522, 25034950, 25226826, 25281760, 25311062, 25421236, 25675445, 25687220, 25786485, 25790476, 25819461, 25822988, 25912298, 25990416, 26123446, 26210489, 26280128, 26415675, 26438694, 26450512, 26556365, 26758875, 27072559, 27131391, 27153053, 27344992, 27531121, 27620487, 27909891, 28145413, 28652194, 28809792, 28990228, 29101357, 29173646, 29330461, 29424439, 30099850, 30228616, 30261617, 31274075, 31475703"	1.16045949001951e-16	2.31462465280649e-16
"Respiratory Insufficiency"	"Oleic acid"	445639	"1971818, 3081468, 3359017, 3923869, 3994147, 6476598, 6652877, 7040694, 7091899, 7634890, 8202636, 8358478, 9068674, 9498967, 9572800, 9590312, 9655737, 9671374, 9743847, 11300614, 11435250, 12183508, 12677559, 12973179, 15985159"	2.56372663269106e-16	5.09499544887399e-16
"Pancreatic Fistula"	"Oleic acid"	445639	"1475410, 2870644, 3949103, 4015214, 8190725, 14337112, 15212143"	2.62759363642228e-12	4.95609747205983e-12
"Pancreatitis"	"Oleic acid"	445639	"1284032, 1853155, 1990228, 2009016, 2424350, 2581485, 2581488, 2588116, 2648055, 3223430, 3227303, 3438304, 6185389, 6206583, 6703446, 8417495, 8419911, 9548669, 9592712, 9695738, 11961487, 12604920, 13740819, 13990177, 14054313, 14064872, 14064873, 14105752, 14113160, 14147206, 22964727"	8.72121148477552e-12	1.63175965659179e-11
"Sprue, Tropical"	"Oleic acid"	445639	"13258164, 13924095, 13988199, 14064872, 14064873, 14113160, 14116897, 14228909"	8.95833617145998e-11	1.64962185496611e-10
"Liver Neoplasms, Experimental"	"Oleic acid"	445639	"1356769, 1639804, 1930137, 2318824, 2351665, 2776751, 2860925, 2912709, 3346254, 3654590, 3689663, 6284036, 7105033, 7811915, 8034600, 8074682, 8690409, 9233686, 9434139, 9774170, 10488124, 10827200, 12860277, 15601899, 16610102, 17265532, 17311939, 21115968, 29796711"	9.28228515676693e-11	1.7089418607401e-10
"Liver Neoplasms"	"Oleic acid"	445639	"1332692, 1660268, 1848237, 1848848, 2066660, 2174703, 2540549, 2553104, 2576804, 2837464, 3021884, 3035039, 3568009, 6272870, 7536855, 7586583, 7595067, 7742360, 7820306, 7845382, 8576650, 8663087, 8808754, 9169410, 9270972, 9409332, 9450116, 9597754, 9651381, 9718078, 9799814, 9858936, 10704613, 11292061, 12065576, 12860277, 14147206, 15298768, 15618547, 15618550, 15721010, 15741053, 16203724, 17038630, 17707340, 18003621, 18345257, 19083476, 19582722, 21327189, 21391224, 22380754, 22385296, 24142602, 24342797, 24867776, 25048947, 26118105, 26186544, 26466905, 27832659, 28707223, 29432786, 30076294, 30182439, 30448348"	2.02023441919581e-10	3.70218218313579e-10
"Steatorrhea"	"Oleic acid"	445639	"13442875, 13513793, 13538156, 13999335, 14116897, 14247983, 17340694"	4.77900231445012e-10	8.7072168889431e-10
"Celiac Disease"	"Oleic acid"	445639	"1510178, 7095367, 13258164, 13614906, 13893355, 13924095, 13988199, 13999335, 14063975, 14064872, 14064873, 14113160, 14116897, 14147206, 14159931, 14228909"	1.30309436381293e-09	2.35557635325419e-09
"Insulinoma"	"Oleic acid"	445639	"8825422, 11145588, 11891015, 12656670, 15297438, 15878969, 16094531, 16448528, 16644178, 18174526, 18260126, 27344025"	2.36274751966165e-09	4.25233526720368e-09
"Pulmonary Atelectasis"	"Oleic acid"	445639	"9760351, 9817719, 10390408, 10852747, 17046849, 17047926, 17285413, 25153803"	2.73929800394748e-09	4.92316602206955e-09
"Adrenoleukodystrophy"	"Oleic acid"	445639	"2440377, 2440378, 2682348, 3037987, 3951702, 8039403, 8094785, 8598113, 9644114, 9660783, 22189598"	3.03334859196754e-09	5.44749812500449e-09
"Hypoxia"	"Oleic acid"	445639	"1537723, 2510120, 3081468, 3086825, 3145279, 3277313, 3722054, 3949648, 3977180, 7633735, 7867360, 8079696, 8079772, 8314181, 8358478, 8746218, 9140005, 9743406, 10228099, 11090251, 11477821, 11700412, 11940762, 12612443, 14709419, 15312408, 15636663, 16391949, 17244890, 17828031, 18434738, 18678559, 19083476, 19909826, 22475807, 25044032, 25666119, 26263439"	5.19501310469303e-09	9.29584171340502e-09
"Starvation"	"Oleic acid"	445639	"2018487, 2306279, 3730405, 4061638, 6222516, 6273686, 6275888, 6409102, 6428907, 6435625, 6860686, 6870859, 7238977, 7340831, 7926505, 8766976, 8866561, 8932299"	1.75110107426254e-08	3.10670991732437e-08
"Malignant Hyperthermia"	"Oleic acid"	445639	"1326861, 1632646, 1662467, 1943469, 2125224, 7683948"	3.04407022238352e-08	5.37176692077188e-08
"Embolism, Fat"	"Oleic acid"	445639	"7101221, 8079696, 9249128, 11834673, 12372741, 14174752, 18869308, 22819303, 23937199"	3.54602835019426e-08	6.25087388212066e-08
"Hypertension, Pulmonary"	"Oleic acid"	445639	"1797924, 2036836, 2343443, 2394653, 2481870, 3079971, 6407362, 7911801, 8304827, 8398807, 8875764, 8989192, 9307481, 9366774, 9564905, 9671374, 9743406, 9817705, 10654518, 10944426, 10988109, 11940762, 12070185, 12410960, 14967602, 22475807, 30531727"	5.7176237478706e-08	1.00356933989416e-07
"Hemolysis"	"Oleic acid"	445639	"2357483, 3085672, 3577901, 6324464, 7235682, 9754324, 10594386, 10708799, 13491825, 13658210, 13658230, 13851746, 14165549, 14221372, 14322324, 19423111, 20385221, 22266534, 22944305, 24039698, 24507967, 27109252, 28714592, 29635057, 30216837, 30221672, 31059983"	1.24163208566277e-07	2.16564586212751e-07
"Weight Gain"	"Oleic acid"	445639	"1316956, 1640632, 1981311, 2124952, 7665997, 8613892, 8786940, 9101428, 9222840, 10360242, 10497230, 10659963, 10780878, 12086055, 12211368, 14641960, 14704302, 15782907, 16282631, 18281580, 18931181, 19541924, 20653972, 21511896, 22020260, 23371517, 23524523, 24286356, 24945254, 25633498, 26180252, 26280128, 29473916"	3.0903620642192e-07	5.34778763151772e-07
"Exocrine Pancreatic Insufficiency"	"Oleic acid"	445639	"1853155, 3628223, 3918287, 7095367, 8103362, 8302800"	6.0508618003134e-07	1.04016120383661e-06
"Intestinal Fistula"	"Oleic acid"	445639	"3949103, 11270785, 11985978, 14113160, 14186888, 14687704"	1.20212066014031e-06	2.05177966282032e-06
"Diabetes Mellitus, Type 2"	"Oleic acid"	445639	"2376301, 4008610, 7587908, 7827358, 7989591, 8731565, 8781762, 8893973, 9079720, 9108665, 9229225, 9486980, 9583379, 10700478, 11023139, 11063437, 11131366, 11214722, 11834092, 11895168, 14740158, 15734839, 15759481, 15868884, 15935394, 16096283, 16179281, 16341842, 16920849, 17641276, 17717282, 17804680, 17880934, 18330713, 19066312, 19141690, 19558671, 19652946, 19758361, 19818774, 20117255, 20442319, 21170321, 21505048, 22155243, 22160450, 22414687, 22961556, 23362303, 23935253, 24342797, 24752559, 25236425, 25311062, 25460732, 25484077, 25790476, 25819461, 26431876, 26798650, 27341449, 27344992, 27514531, 27531121, 28456145, 28461456, 29064290, 29290500, 29330461, 31255704, 31412623"	1.24696661205022e-06	2.12737377706306e-06
"Niemann-Pick Diseases"	"Oleic acid"	445639	"1429719, 2804059, 3126354, 6716060, 8297353, 10622400, 11125140, 15632139, 17523925"	1.06714698837345e-05	1.77885049744443e-05
"Gastric Fistula"	"Oleic acid"	445639	"1475410, 2870644, 11985978, 15212143"	1.47839845364859e-05	2.45378531101401e-05
"Pancreatic Diseases"	"Oleic acid"	445639	"2437560, 3303971, 8464169, 12110700, 13306089, 13893355, 13924095"	1.99787431574281e-05	3.30588827958557e-05
"Acute Disease"	"Oleic acid"	445639	"1284032, 1294370, 1405614, 1971818, 1990228, 2009016, 2033887, 2036836, 2424350, 2581485, 2581488, 2645264, 2648055, 3030168, 3359017, 3558721, 3959803, 3963620, 3994147, 6206583, 6476598, 6638672, 6652877, 7091899, 7634890, 7807752, 7920976, 8202636, 8358478, 8417495, 8419911, 8472577, 8682524, 8875764, 9498967, 9592712, 9655737, 9757928, 10735619, 11300614, 12117873, 12183508, 12193118, 12391113, 12410960, 12677559, 14967602, 15563376, 15681392, 15710155, 16687790, 16762864, 16864077, 17068622, 17510605, 18051906, 18495579, 18611275, 18621912, 19047485, 22964727, 27778032"	2.82564580092106e-05	4.65532824385207e-05
"Inflammation"	"Oleic acid"	445639	"2510521, 3097431, 10642938, 14061852, 14681843, 15168040, 15566591, 16078525, 16557504, 17240190, 17634263, 18281277, 18393765, 18496275, 19910642, 20158049, 20518853, 20628605, 20655616, 20799406, 20819547, 20852092, 20937260, 20939674, 21417548, 22106967, 22189598, 22209225, 22946786, 22964727, 23165533, 23210668, 23214140, 23272807, 23278117, 23422200, 23450515, 23460021, 23547761, 23935253, 24028683, 24121055, 24149444, 24341743, 24378274, 24524266, 25059039, 25369069, 25509153, 25536864, 25781700, 25976467, 26055507, 26123446, 26280128, 26324406, 26401576, 26634892, 26640323, 26950614, 27116638, 27490779, 27586277, 27853933, 28063941, 28080141, 28461456, 28526351, 28732092, 29095531, 29108729, 29180108, 29367652, 29525610, 29864915, 30102465, 30228616, 30248539, 30538802, 30615382, 30867255, 30903378, 31123394, 31179489, 31394805, 31496699, 31520777, 31532348, 31958420"	3.45134694200374e-05	5.67112908037088e-05
"Lipid Metabolism, Inborn Errors"	"Oleic acid"	445639	"2001430, 3365518, 3691534, 3801499, 3827919, 8663220, 9469583, 10709659, 11580910"	6.32905162376599e-05	0.000103200990525439
"Hypercapnia"	"Oleic acid"	445639	"1410842, 2012214, 6652877, 7633697, 9671374, 15636663"	0.000143670542015248	0.000231552184284411
"Hyperthyroidism"	"Oleic acid"	445639	"1445963, 1932102, 2115809, 2910549, 3908084, 3967007, 4074342, 6129897, 6275888, 6414548, 6926832, 7056212, 7813079, 12459454"	0.000150721604721072	0.000242732321023348
"Fistula"	"Oleic acid"	445639	"3521393, 3720326, 8185196, 9009111, 14058267"	0.000164213032685763	0.000264192391752288
"Diffuse Cerebral Sclerosis of Schilder"	"Oleic acid"	445639	"2440377, 2440378, 2682348, 3037987, 3951702"	0.000199128549721787	0.000319288378791088
"Intestinal Diseases"	"Oleic acid"	445639	"4035288, 7714694, 9586757, 13740819, 13893355, 13988199, 14196717, 16351767, 21342606"	0.000232233164975808	0.00037141594998526
"Carcinoma, Ehrlich Tumor"	"Oleic acid"	445639	"2769782, 2833508, 2926093, 3031411, 6387722, 6942190, 6955539, 7165872, 7248917, 8265520, 9675088, 14222359, 29796711"	0.000305244922898335	0.000485997595682754
"Barotrauma"	"Oleic acid"	445639	"9241328, 17467318"	0.00059510052617379	0.000938019747151915
"Postmortem Changes"	"Oleic acid"	445639	"1905675, 3095208, 3410394, 9670483, 17316224, 29574981"	0.000878814148528697	0.00137538872628351
"Postgastrectomy Syndromes"	"Oleic acid"	445639	"14113160, 14141642, 14206852"	0.00131192087221881	0.00204024454498486
"Body Weight"	"Oleic acid"	445639	"1350977, 1431582, 1604547, 1953666, 2276080, 2298013, 2313378, 3127554, 3342088, 3403430, 3669101, 3991425, 4023398, 4040108, 4070130, 6514667, 6942190, 7320503, 7666256, 7719965, 7854160, 7931727, 7987728, 8354959, 8541338, 8562569, 8574857, 8579665, 8660269, 8728313, 8782737, 8788266, 8866022, 8880430, 9252956, 9316121, 9489745, 9548669, 9745111, 9832074, 9857071, 10447788, 10626651, 10712279, 10827016, 10913044, 11048942, 11181530, 11292656, 11332598, 11418023, 11555843, 11577713, 11895168, 11928954, 12097695, 12145222, 12162345, 12211368, 12223350, 12878447, 12955147, 14100995, 14158913, 14207734, 14519807, 14641960, 14667182, 15090626, 15469642, 16412622, 16772437, 17287467, 17634263, 17962198, 18059405, 18205994, 18535161, 18722549, 18786278, 18952136, 19038811, 19710389, 19776635, 19822001, 20595619, 20714328, 21788431, 22990467, 23098653, 23557700, 23640923, 24394481, 24418242, 24550067, 25311062, 25484077, 25675445, 25727313, 25912298, 25962361, 25976784, 26280928, 26438694, 26450512, 26525535, 26964689, 27116638, 27153053, 27804268, 27922115, 29208481, 30165350, 31560748, 32004533"	0.00133658013301703	0.0020775537227294
"Pulmonary Embolism"	"Oleic acid"	445639	"2240686, 2409068, 3744736, 7101221, 8079696, 8664452, 9249128, 14174752"	0.00136626833208946	0.00212292047445488
"Arteriosclerosis"	"Oleic acid"	445639	"1937068, 2339129, 2409956, 3090220, 3573720, 4043339, 4053308, 6342341, 6630518, 6644183, 8240398, 8731565, 8879442, 9175170, 9229225, 9802552, 9974401, 10443051, 10974055, 11023139, 11254753, 11351047, 11390178, 11423488, 11475681, 12036961, 12125230, 12195709, 12670484, 13024644, 13057209, 13330463, 13392985, 13496773, 13558109, 14083242, 14112225, 14125718, 14172332, 14196717, 14232335, 14397374, 14525677, 14595542, 14895199, 14956639, 15350986, 15548517, 16008244"	0.00190692684537192	0.00294284885285477
"Varicose Veins"	"Oleic acid"	445639	"13113827, 13169341, 14178318, 14829948"	0.00194503970219019	0.00300086311694674
"Diabetes Mellitus, Experimental"	"Oleic acid"	445639	"1493594, 2039501, 2276080, 2991049, 3516060, 3578513, 3718739, 4025544, 6129897, 6630518, 6860686, 10698964, 10913044, 11423488, 12138107, 12880109, 14114873, 14181293, 14697232, 15298769, 16412622, 18205134, 18682384, 20113168, 20334541, 23604552, 23922283, 23946292, 24342797, 25218423, 25281760, 28456145, 28461456, 29996652, 30579158"	0.00263651606994091	0.00404115632946573
